regulator,target,weight
fur,entA,-1
fur,entC,-1
fur,entF,-1
fur,fepE,-1
fur,fes,-1
fur,flhC,-1
fur,flhD,-1
fur,fecA,-1
fur,fecB,-1
fur,fecC,-1
fur,fecD,-1
fur,fecE,-1
fur,fumB,1
fur,hmp,-1
fur,rpoS,-1
fur,katG,-1
fur,metJ,-1
fur,ompF,1
fur,purR,-1
fur,sdhA,1
fur,sdhB,1
fur,sdhC,1
fur,sdhD,1
fur,sodA,-1
fur,sodB,1
fur,sucA,1
fur,sucB,1
fur,sucC,1
fur,sucD,1
fur,entH,-1
fur,sufA,-1
fur,sufE,-1
fur,sufS,-1
fur,sufD,-1
fur,sufC,-1
fur,sufB,-1
fur,rcnR,1
fur,ybdZ,-1
fur,cyoA,-1
fur,cyoB,-1
gadE,purA,1
gadE,rcsA,1
gadE,hdeA,1
gadE,hdeB,1
gadE,yhiD,1
gadE,gadB,1
gadE,hdeD,1
gadE,gltF,1
gadE,mdtE,1
gadE,mdtF,1
gadE,gadW,1
gadE,gadX,1
gadE,gadA,1
gadE,gadC,1
gadE,cadA,1
gadE,cadB,1
gadE,cyoA,1
gadE,cyoB,1
gadE,cyoC,1
gadE,cyoD,1
gadE,cyoE,1
gadE,lpxD,1
gadE,gltB,1
gadE,gltD,1
gadE,lpxA,1
gadE,lrp,1
gadW,slp,1
gadW,mdtE,1
gadW,mdtF,1
gadW,gadX,-1
gadW,gadA,-1
gadW,gadC,-1
gadW,hdeA,1
gadW,hdeB,-1
gadW,yhiD,1
gadW,gadB,-1
gadW,gadE,1
gadW,dctR,1
gadX,gadE,1
gadX,hns,1
gadX,gadB,1
gadX,yhiD,1
gadX,hdeB,-1
gadX,hdeA,1
gadX,rpoS,1
gadX,gadC,1
gadX,hdeD,1
gadX,cadB,1
gadX,cadA,1
gadX,dctR,1
gadX,slp,1
gadX,glnK,1
gadX,mdtE,1
gadX,mdtF,1
gadX,gadA,1
gadX,gadW,-1
glcC,glcD,1
glcC,glcE,1
glcC,glcG,1
glcC,glcF,1
glcC,glcB,1
glcC,glcA,1
glpR,glpT,-1
glpR,glpQ,-1
glpR,glpK,-1
glpR,glpD,-1
glpR,glpC,-1
glpR,glpA,-1
glpR,glpB,-1
gutM,srlB,1
gutM,srlD,1
gutM,gutQ,1
gutM,srlR,1
gutM,srlA,1
gutM,srlE,1
srlR,srlA,-1
srlR,srlB,-1
srlR,srlD,-1
srlR,gutM,-1
srlR,gutQ,-1
srlR,srlE,-1
hdfR,flhD,-1
hdfR,flhC,-1
hipA,hipB,-1
hipB,hipA,-1
hns,chpA,1
hns,gabD,1
hns,gabP,1
hns,fliA,1
hns,fliZ,1
hns,hdeA,-1
hns,hdeB,-1
hns,yhiD,-1
hns,dps,-1
hns,hdeD,-1
hns,stpA,-1
hns,fimI,1
hns,gadW,-1
hns,gadX,-1
hns,alaU,-1
hns,cadB,-1
hns,cydA,-1
hns,cydB,-1
hns,cysG,-1
hns,cysU,-1
hns,entF,1
hns,acrE,-1
hns,fepE,1
hns,fes,1
hns,fimA,1
hns,fimC,1
hns,fimD,1
hns,fimE,-1
hns,fimF,1
hns,fimG,1
hns,fimH,1
hns,flhC,1
hns,flhD,1
hns,gabT,1
hns,leuO,-1
hns,chpR,1
hns,nirB,-1
hns,nirC,-1
hns,nirD,-1
hns,osmC,-1
hns,rcsA,-1
hns,sodB,-1
hns,srlE,1
hns,srlB,1
hns,srlD,1
hns,gutM,1
hns,gutQ,1
hns,srlR,1
hns,nhaR,-1
hns,alaV,-1
hns,gltT,-1
hns,gltU,-1
hns,gltW,-1
hns,ileU,-1
